English,Infinitive,Tense,Pronoun,Conjugation
to visit,besuchen,Present,ich,besuche
to visit,besuchen,Present,du,besuchst
to visit,besuchen,Present,er/sie/es,besucht
to visit,besuchen,Present,wir,besuchen
to visit,besuchen,Present,ihr,besucht
to visit,besuchen,Present,sie/Sie,besuchen
to visit,besuchen,Imperfect,ich,besuchte
to visit,besuchen,Imperfect,du,besuchtest
to visit,besuchen,Imperfect,er/sie/es,besuchte
to visit,besuchen,Imperfect,wir,besuchten
to visit,besuchen,Imperfect,ihr,besuchtet
to visit,besuchen,Imperfect,sie/Sie,besuchten
to visit,besuchen,Perfect,ich,habe besucht
to visit,besuchen,Perfect,du,hast besucht
to visit,besuchen,Perfect,er/sie/es,hat besucht
to visit,besuchen,Perfect,wir,haben besucht
to visit,besuchen,Perfect,ihr,habt besucht
to visit,besuchen,Perfect,sie/Sie,haben besucht
to recommend,empfehlen,Present,ich,empfehle
to recommend,empfehlen,Present,du,empfiehlst
to recommend,empfehlen,Present,er/sie/es,empfiehlt
to recommend,empfehlen,Present,wir,empfehlen
to recommend,empfehlen,Present,ihr,empfehlt
to recommend,empfehlen,Present,sie/Sie,empfehlen
to recommend,empfehlen,Imperfect,ich,empfahl
to recommend,empfehlen,Imperfect,du,empfahlst
to recommend,empfehlen,Imperfect,er/sie/es,empfahl
to recommend,empfehlen,Imperfect,wir,empfahlen
to recommend,empfehlen,Imperfect,ihr,empfahlt
to recommend,empfehlen,Imperfect,sie/Sie,empfahlen
to recommend,empfehlen,Perfect,ich,habe empfohlen
to recommend,empfehlen,Perfect,du,hast empfohlen
to recommend,empfehlen,Perfect,er/sie/es,hat empfohlen
to recommend,empfehlen,Perfect,wir,haben empfohlen
to recommend,empfehlen,Perfect,ihr,habt empfohlen
to recommend,empfehlen,Perfect,sie/Sie,haben empfohlen
to meet,treffen,Present,ich,treffe
to meet,treffen,Present,du,triffst
to meet,treffen,Present,er/sie/es,trifft
to meet,treffen,Present,wir,treffen
to meet,treffen,Present,ihr,trefft
to meet,treffen,Present,sie/Sie,treffen
to meet,treffen,Imperfect,ich,traf
to meet,treffen,Imperfect,du,trafst
to meet,treffen,Imperfect,er/sie/es,traf
to meet,treffen,Imperfect,wir,trafen
to meet,treffen,Imperfect,ihr,traft
to meet,treffen,Imperfect,sie/Sie,trafen
to meet,treffen,Perfect,ich,habe getroffen
to meet,treffen,Perfect,du,hast getroffen
to meet,treffen,Perfect,er/sie/es,hat getroffen
to meet,treffen,Perfect,wir,haben getroffen
to meet,treffen,Perfect,ihr,habt getroffen
to meet,treffen,Perfect,sie/Sie,haben getroffen
to meet,treffen,Perfect,ich,bin getroffen
to meet,treffen,Perfect,du,bist getroffen
to meet,treffen,Perfect,er/sie/es,ist getroffen
to meet,treffen,Perfect,wir,sind getroffen
to meet,treffen,Perfect,ihr,seid getroffen
to meet,treffen,Perfect,sie/Sie,sind getroffen
 to look for,suchen,Present,ich,suche
 to look for,suchen,Present,du,suchst
 to look for,suchen,Present,er/sie/es,sucht
 to look for,suchen,Present,wir,suchen
 to look for,suchen,Present,ihr,sucht
 to look for,suchen,Present,sie/Sie,suchen
 to look for,suchen,Imperfect,ich,suchte
 to look for,suchen,Imperfect,du,suchtest
 to look for,suchen,Imperfect,er/sie/es,suchte
 to look for,suchen,Imperfect,wir,suchten
 to look for,suchen,Imperfect,ihr,suchtet
 to look for,suchen,Imperfect,sie/Sie,suchten
 to look for,suchen,Perfect,ich,habe gesucht
 to look for,suchen,Perfect,du,hast gesucht
 to look for,suchen,Perfect,er/sie/es,hat gesucht
 to look for,suchen,Perfect,wir,haben gesucht
 to look for,suchen,Perfect,ihr,habt gesucht
 to look for,suchen,Perfect,sie/Sie,haben gesucht
to stroll,spazieren,Present,ich,spaziere
to stroll,spazieren,Present,du,spazierst
to stroll,spazieren,Present,er/sie/es,spaziert
to stroll,spazieren,Present,wir,spazieren
to stroll,spazieren,Present,ihr,spaziert
to stroll,spazieren,Present,sie/Sie,spazieren
to stroll,spazieren,Imperfect,ich,spazierte
to stroll,spazieren,Imperfect,du,spaziertest
to stroll,spazieren,Imperfect,er/sie/es,spazierte
to stroll,spazieren,Imperfect,wir,spazierten
to stroll,spazieren,Imperfect,ihr,spaziertet
to stroll,spazieren,Imperfect,sie/Sie,spazierten
to stroll,spazieren,Perfect,ich,bin spaziert
to stroll,spazieren,Perfect,du,bist spaziert
to stroll,spazieren,Perfect,er/sie/es,ist spaziert
to stroll,spazieren,Perfect,wir,sind spaziert
to stroll,spazieren,Perfect,ihr,seid spaziert
to stroll,spazieren,Perfect,sie/Sie,sind spaziert
to need,brauchen,Present,ich,brauche
to need,brauchen,Present,du,brauchst
to need,brauchen,Present,er/sie/es,braucht
to need,brauchen,Present,wir,brauchen
to need,brauchen,Present,ihr,braucht
to need,brauchen,Present,sie/Sie,brauchen
to need,brauchen,Imperfect,ich,brauchte
to need,brauchen,Imperfect,du,brauchtest
to need,brauchen,Imperfect,er/sie/es,brauchte
to need,brauchen,Imperfect,wir,brauchten
to need,brauchen,Imperfect,ihr,brauchtet
to need,brauchen,Imperfect,sie/Sie,brauchten
to need,brauchen,Perfect,ich,habe gebraucht
to need,brauchen,Perfect,du,hast gebraucht
to need,brauchen,Perfect,er/sie/es,hat gebraucht
to need,brauchen,Perfect,wir,haben gebraucht
to need,brauchen,Perfect,ihr,habt gebraucht
to need,brauchen,Perfect,sie/Sie,haben gebraucht
to cook,kochen,Present,ich,koche
to cook,kochen,Present,du,kochst
to cook,kochen,Present,er/sie/es,kocht
to cook,kochen,Present,wir,kochen
to cook,kochen,Present,ihr,kocht
to cook,kochen,Present,sie/Sie,kochen
to cook,kochen,Imperfect,ich,kochte
to cook,kochen,Imperfect,du,kochtest
to cook,kochen,Imperfect,er/sie/es,kochte
to cook,kochen,Imperfect,wir,kochten
to cook,kochen,Imperfect,ihr,kochtet
to cook,kochen,Imperfect,sie/Sie,kochten
to cook,kochen,Perfect,ich,habe gekocht
to cook,kochen,Perfect,du,hast gekocht
to cook,kochen,Perfect,er/sie/es,hat gekocht
to cook,kochen,Perfect,wir,haben gekocht
to cook,kochen,Perfect,ihr,habt gekocht
to cook,kochen,Perfect,sie/Sie,haben gekocht
to like,mögen,Present,ich,mag
to like,mögen,Present,du,magst
to like,mögen,Present,er/sie/es,mag
to like,mögen,Present,wir,mögen
to like,mögen,Present,ihr,mögt
to like,mögen,Present,sie/Sie,mögen
to like,mögen,Imperfect,ich,mochte
to like,mögen,Imperfect,du,mochtest
to like,mögen,Imperfect,er/sie/es,mochte
to like,mögen,Imperfect,wir,mochten
to like,mögen,Imperfect,ihr,mochtet
to like,mögen,Imperfect,sie/Sie,mochten
to like,mögen,Perfect,ich,habe gemocht
to like,mögen,Perfect,du,hast gemocht
to like,mögen,Perfect,er/sie/es,hat gemocht
to like,mögen,Perfect,wir,haben gemocht
to like,mögen,Perfect,ihr,habt gemocht
to like,mögen,Perfect,sie/Sie,haben gemocht
to buy,kaufen,Present,ich,kaufe
to buy,kaufen,Present,du,kaufst
to buy,kaufen,Present,er/sie/es,kauft
to buy,kaufen,Present,wir,kaufen
to buy,kaufen,Present,ihr,kauft
to buy,kaufen,Present,sie/Sie,kaufen
to buy,kaufen,Imperfect,ich,kaufte
to buy,kaufen,Imperfect,du,kauftest
to buy,kaufen,Imperfect,er/sie/es,kaufte
to buy,kaufen,Imperfect,wir,kauften
to buy,kaufen,Imperfect,ihr,kauftet
to buy,kaufen,Imperfect,sie/Sie,kauften
to buy,kaufen,Perfect,ich,habe gekauft
to buy,kaufen,Perfect,du,hast gekauft
to buy,kaufen,Perfect,er/sie/es,hat gekauft
to buy,kaufen,Perfect,wir,haben gekauft
to buy,kaufen,Perfect,ihr,habt gekauft
to buy,kaufen,Perfect,sie/Sie,haben gekauft
to take,nehmen,Present,ich,nehme
to take,nehmen,Present,du,nimmst
to take,nehmen,Present,er/sie/es,nimmt
to take,nehmen,Present,wir,nehmen
to take,nehmen,Present,ihr,nehmt
to take,nehmen,Present,sie/Sie,nehmen
to take,nehmen,Imperfect,ich,nahm
to take,nehmen,Imperfect,du,nahmst
to take,nehmen,Imperfect,er/sie/es,nahm
to take,nehmen,Imperfect,wir,nahmen
to take,nehmen,Imperfect,ihr,nahmt
to take,nehmen,Imperfect,sie/Sie,nahmen
to take,nehmen,Perfect,ich,habe genommen
to take,nehmen,Perfect,du,hast genommen
to take,nehmen,Perfect,er/sie/es,hat genommen
to take,nehmen,Perfect,wir,haben genommen
to take,nehmen,Perfect,ihr,habt genommen
